cpd_id,is_Rgroup,gnn,dgp_original,dgp_retrained,eq_structurebased,eq_detail
cpd24442,False,1,0,1,1,covered
cpd24443,False,1,0,1,1,covered
cpd24444,False,1,1,1,0,found_notEst
cpd24445,False,1,0,1,0,found_notEst
cpd24446,False,1,0,1,1,covered
cpd24447,False,1,1,1,0,found_notEst
cpd24448,False,1,0,1,1,covered
cpd24449,False,1,0,1,0,found_notEst
cpd24450,False,1,0,1,1,covered
cpd24451,False,1,0,1,0,found_notEst
cpd24452,False,1,0,1,0,found_notEst
cpd24453,False,1,0,1,0,notfound
cpd24454,False,1,0,1,1,covered
cpd24455,False,1,0,1,1,covered
cpd24456,False,1,0,1,1,covered
cpd24457,False,1,0,1,0,notfound
cpd24458,True,1,0,0,,
cpd24459,True,1,0,0,,
cpd24460,False,1,0,1,0,found_notEst
cpd24461,False,1,0,1,0,found_notEst
cpd24462,False,1,0,1,0,found_notEst
cpd24463,True,1,0,0,,
cpd24464,False,1,0,1,0,found_notEst
cpd24465,False,1,0,1,0,found_notEst
cpd24466,True,1,0,0,,
cpd24467,False,0,0,0,,
cpd24468,False,1,0,1,0,found_notEst
cpd24469,False,1,0,1,0,found_notEst
cpd24470,False,1,0,1,0,found_notEst
cpd24471,True,1,0,0,,
cpd24472,False,1,0,1,0,found_notEst
cpd24473,False,1,0,1,0,found_notEst
cpd24474,False,1,0,1,0,found_notEst
cpd24475,False,1,0,1,0,found_notEst
cpd24476,False,1,0,1,0,found_notEst
cpd24477,False,1,0,1,0,found_notEst
cpd24478,False,1,0,1,1,covered
cpd24479,True,1,0,0,,
cpd24480,True,1,0,0,,
cpd24481,True,1,0,0,,
cpd24482,False,1,1,1,1,covered
cpd24483,False,1,1,1,1,covered
cpd24484,False,1,1,1,1,covered
cpd24485,False,1,0,1,1,covered
cpd24486,False,1,0,1,1,covered
cpd24487,False,1,0,1,1,covered
cpd24488,False,1,0,1,0,found_notEst
cpd24489,True,1,0,0,,
cpd24490,False,1,0,1,1,covered
cpd24491,False,1,0,1,0,found_notEst
cpd24492,False,1,0,1,0,found_notEst
cpd24493,False,1,0,1,0,found_notEst
cpd24494,False,1,0,1,0,found_notEst
cpd24495,False,1,0,1,1,covered
cpd24496,False,1,0,1,1,covered
cpd24497,False,1,0,1,1,covered
cpd24498,False,1,0,1,0,found_notEst
cpd24499,False,1,0,1,1,covered
cpd24500,False,1,0,1,1,covered
cpd24501,False,1,0,1,0,found_notEst
cpd24502,False,1,0,1,0,found_notEst
cpd24503,False,1,0,1,0,found_notEst
cpd24504,False,1,0,1,0,found_notEst
cpd24505,False,1,0,1,0,found_notEst
cpd24506,False,1,0,1,0,found_notEst
cpd24507,False,1,0,1,0,found_notEst
cpd24508,False,1,0,1,0,found_notEst
cpd24510,False,1,0,1,0,found_notEst
cpd24511,False,1,0,1,0,found_notEst
cpd24512,False,1,0,1,0,found_notEst
cpd24513,False,1,0,0,0,found_notEst
cpd24514,False,1,0,1,0,found_notEst
cpd24515,False,1,0,1,1,covered
cpd24516,False,1,0,1,1,covered
cpd24517,False,1,0,1,1,covered
cpd24518,False,1,0,1,1,covered
cpd24519,False,1,0,1,1,covered
cpd24520,False,1,0,1,0,found_notEst
cpd24521,False,1,0,1,0,found_notEst
cpd24522,False,1,0,1,1,covered
cpd24523,False,1,0,1,1,covered
cpd24524,False,1,0,1,1,covered
cpd24525,False,1,0,1,1,covered
cpd24526,False,1,0,1,1,covered
cpd24527,False,1,0,1,1,covered
cpd24528,False,1,0,1,1,covered
cpd24529,False,1,0,1,1,covered
cpd24530,False,1,0,1,0,found_notEst
cpd24531,False,1,0,1,0,found_notEst
cpd24532,False,1,0,1,0,found_notEst
cpd24533,False,1,0,1,0,found_notEst
cpd24534,False,1,0,1,0,found_notEst
cpd24535,False,1,0,0,0,found_notEst
cpd24536,False,1,0,0,0,found_notEst
cpd24537,False,1,0,1,0,found_notEst
cpd24538,False,1,0,1,0,found_notEst
cpd24539,False,1,0,1,0,found_notEst
cpd24540,False,1,0,1,1,covered
cpd24541,False,1,0,1,1,covered
cpd24542,False,1,1,1,0,found_notEst
cpd24543,False,1,1,1,0,found_notEst
cpd24544,False,1,1,1,0,found_notEst
cpd24545,False,1,0,1,0,found_notEst
cpd24546,False,1,0,1,0,found_notEst
cpd24547,False,1,0,1,0,found_notEst
cpd24548,False,1,1,1,1,covered
cpd24549,False,1,0,1,1,covered
cpd24550,False,1,0,1,1,covered
cpd24551,False,1,0,1,1,covered
cpd24552,True,1,0,0,,
cpd24553,False,1,1,1,1,covered
cpd24554,False,1,0,1,1,covered
cpd24555,False,1,0,1,1,covered
cpd24556,False,1,0,1,1,covered
cpd24557,False,1,0,1,1,covered
cpd24558,False,1,0,1,1,covered
cpd24559,False,1,0,1,1,covered
cpd24560,False,1,0,1,1,covered
cpd24561,False,1,0,1,1,covered
cpd24562,False,1,0,1,1,covered
cpd24563,False,1,0,1,1,covered
cpd24564,False,1,0,1,0,found_notEst
cpd24565,False,1,0,1,0,found_notEst
cpd24566,False,1,0,0,0,found_notEst
